Movie Title,Movie Release Year,IMDb Rating,Movie Duration,Movie Rating (MPA),Movie URL IMDb
136. Judgment at Nuremberg,1961,8.3,2h 59m,Approved,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_136
137. The Truman Show,1998,8.2,1h 43m,PG,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_137
138. There Will Be Blood,2007,8.2,2h 38m,R,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_138
139. Ran,1985,8.2,2h 40m,R,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_139
140. Casino,1995,8.2,2h 58m,R,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_140
141. Shutter Island,2010,8.2,2h 18m,R,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_141
142. Pan's Labyrinth,2006,8.2,1h 58m,R,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_142
143. The Sixth Sense,1999,8.2,1h 47m,PG-13,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_143
144. Unforgiven,1992,8.2,2h 10m,R,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_144
145. Jurassic Park,1993,8.2,2h 7m,PG-13,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_145
146. A Beautiful Mind,2001,8.2,2h 15m,PG-13,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_146
147. The Treasure of the Sierra Madre,1948,8.2,2h 6m,Passed,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_147
148. Yojimbo,1961,8.2,1h 50m,Not Rated,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_148
149. No Country for Old Men,2007,8.2,2h 2m,R,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_149
150. Kill Bill: Vol. 1,2003,8.2,1h 51m,R,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_150
151. Monty Python and the Holy Grail,1975,8.2,1h 31m,PG,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_151
152. The Great Escape,1963,8.2,2h 52m,Approved,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_152
153. The Thing,1982,8.2,1h 49m,16+,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_153
154. Rashomon,1950,8.2,1h 28m,Not Rated,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_154
155. Finding Nemo,2003,8.2,1h 40m,G,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_155
156. The Elephant Man,1980,8.2,2h 4m,PG,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_156
157. Chinatown,1974,8.2,2h 10m,R,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_157
158. Howl's Moving Castle,2004,8.2,1h 59m,PG,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_158
159. Dial M for Murder,1954,8.2,1h 45m,PG,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_159
160. Gone with the Wind,1939,8.2,3h 58m,Passed,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_160
161. V for Vendetta,2005,8.2,2h 12m,R,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_161
162. Raging Bull,1980,8.1,2h 9m,R,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_162
163. Spider-Man: No Way Home,2021,8.2,2h 28m,PG-13,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_163
"164. Lock, Stock and Two Smoking Barrels",1998,8.1,1h 47m,R,https://www.imdb.com/title/tt0120735/?ref_=chttp_t_164
165. The Secret in Their Eyes,2009,8.2,2h 9m,R,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_165
166. Prisoners,2013,8.1,2h 33m,R,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_166
167. Inside Out,2015,8.1,1h 35m,PG,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_167
"168. Three Billboards Outside Ebbing, Missouri",2017,8.1,1h 55m,R,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_168
169. The Bridge on the River Kwai,1957,8.1,2h 41m,PG,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_169
170. Trainspotting,1996,8.1,1h 33m,R,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_170
171. Fargo,1996,8.1,1h 38m,R,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_171
172. Warrior,2011,8.1,2h 20m,PG-13,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_172
173. Gran Torino,2008,8.1,1h 56m,R,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_173
174. Catch Me If You Can,2002,8.1,2h 21m,PG-13,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_174
175. My Neighbor Totoro,1988,8.1,1h 26m,G,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_175
176. Million Dollar Baby,2004,8.1,2h 12m,PG-13,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_176
177. Klaus,2019,8.2,1h 36m,PG,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_177
178. Harry Potter and the Deathly Hallows: Part 2,2011,8.1,2h 10m,PG-13,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_178
179. Children of Heaven,1997,8.2,1h 29m,PG,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_179
180. Blade Runner,1982,8.1,1h 57m,R,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_180
181. 12 Years a Slave,2013,8.1,2h 14m,R,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_181
182. Before Sunrise,1995,8.1,1h 41m,R,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_182
183. The Grand Budapest Hotel,2014,8.1,1h 39m,R,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_183
184. The Gold Rush,1925,8.1,1h 35m,Passed,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_184
185. Ben-Hur,1959,8.1,3h 32m,G,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_185
186. Gone Girl,2014,8.1,2h 29m,R,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_186
187. Barry Lyndon,1975,8.1,3h 5m,PG,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_187
188. On the Waterfront,1954,8.1,1h 48m,Approved,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_188
189. Hacksaw Ridge,2016,8.1,2h 19m,R,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_189
190. In the Name of the Father,1993,8.1,2h 13m,R,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_190
191. The General,1926,8.1,1h 18m,Passed,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_191
192. Memories of Murder,2003,8.1,2h 12m,Not Rated,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_192
193. The Deer Hunter,1978,8.1,3h 3m,R,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_193
194. Wild Strawberries,1957,8.1,1h 31m,Not Rated,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_194
195. The Wages of Fear,1953,8.2,2h 11m,Not Rated,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_195
196. The Third Man,1949,8.1,1h 33m,Approved,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_196
197. Wild Tales,2014,8.1,2h 2m,R,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_197
198. Sherlock Jr.,1924,8.2,45m,Passed,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_198
199. Dead Poets Society,1989,8.1,2h 8m,PG,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_199
200. Mad Max: Fury Road,2015,8.1,2h,R,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_200
201. Mr. Smith Goes to Washington,1939,8.1,2h 9m,Passed,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_201
"202. Monsters, Inc.",2001,8.1,1h 32m,G,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_202
203. How to Train Your Dragon,2010,8.1,1h 38m,PG,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_203
204. Jaws,1975,8.1,2h 4m,PG,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_204
205. Mary and Max,2009,8.1,1h 32m,Not Rated,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_205
206. The Seventh Seal,1957,8.1,1h 36m,Not Rated,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_206
207. Room,2015,8.1,1h 58m,R,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_207
208. Ford v Ferrari,2019,8.1,2h 32m,PG-13,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_208
209. The Big Lebowski,1998,8.1,1h 57m,R,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_209
210. Tokyo Story,1953,8.1,2h 16m,Not Rated,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_210
211. Ratatouille,2007,8.1,1h 51m,G,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_211
212. Rocky,1976,8.1,2h,PG,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_212
213. Hotel Rwanda,2004,8.1,2h 1m,PG-13,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_213
214. The Passion of Joan of Arc,1928,8.1,1h 54m,Passed,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_214
215. Logan,2017,8.1,2h 17m,R,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_215
216. Spotlight,2015,8.1,2h 9m,R,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_216
217. Platoon,1986,8.1,2h,R,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_217
218. The Terminator,1984,8.1,1h 47m,R,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_218
219. Before Sunset,2004,8.1,1h 20m,R,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_219
220. Jai Bhim,2021,8.8,2h 44m,TV-MA,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_220
221. Rush,2013,8.1,2h 3m,R,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_221
222. Network,1976,8.1,2h 1m,R,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_222
223. Stand by Me,1986,8.1,1h 29m,R,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_223
224. The Best Years of Our Lives,1946,8.1,2h 50m,Approved,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_224
225. La haine,1995,8.1,1h 38m,Not Rated,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_225
226. The Exorcist,1973,8.1,2h 2m,R,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_226
227. The Wizard of Oz,1939,8.1,1h 42m,G,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_227
228. Into the Wild,2007,8.1,2h 28m,R,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_228
229. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,2h 23m,PG-13,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_229
230. The Incredibles,2004,8.0,1h 55m,PG,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_230
231. To Be or Not to Be,1942,8.2,1h 39m,Passed,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_231
232. Hachi: A Dog's Tale,2009,8.1,1h 33m,G,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_232
233. Groundhog Day,1993,8.0,1h 41m,PG,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_233
234. The Handmaiden,2016,8.1,2h 25m,Not Rated,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_234
235. The Battle of Algiers,1966,8.1,2h 1m,Not Rated,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_235
236. My Father and My Son,2005,8.2,1h 52m,Not Rated,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_236
237. The Grapes of Wrath,1940,8.1,2h 9m,Passed,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_237
238. Amores Perros,2000,8.1,2h 34m,R,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_238
